course_code,course,School files Link,Study Smarter Link
GEDS 280,Leadership Skills,Unavailable,https://app.studysmarter.de/studyset/15560823?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
COSC 302,Algorithm and Data Structures,https://drive.google.com/drive/folders/1BFLR3jK22hws5S7z0saKUn0ig0UtEaHh?usp=drive_link,https://app.studysmarter.de/studyset/21162812?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
COSC 303,Operating Systems II,https://drive.google.com/drive/folders/1sj2mo7RQU7s81Cn-FysVpEXAS9-5LNXM?usp=drive_link,https://app.studysmarter.de/studyset/15787007?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
COSC 306,Survey of Programming Languages,https://drive.google.com/drive/folders/1tarW8UeqjUS3zLgpCNkv7cWVMXj_FNi3?usp=drive_link,https://app.studysmarter.de/studyset/21162799?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
COSC 309,Introduction to Operations Research,https://drive.google.com/drive/folders/1KY6S_p3IUPm1ru9Xc-UIcwnOSZUsSrs1?usp=drive_link,https://app.studysmarter.de/studyset/16970673?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
COSC 312,Numerical Methods and Analysis II,https://drive.google.com/drive/folders/13buVfEOZEDqcFIci9yvn-re1dJZ-nhXu?usp=drive_link,https://app.studysmarter.de/studyset/21162804?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
COSC 317,Computer Hardware,https://drive.google.com/drive/folders/1HLDQcw2_mMoOdYjtrUSJQVnApO8bqw-e?usp=drive_link,https://app.studysmarter.de/studyset/16779819?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
COSC 325,Research Methodology and Current Topics,https://drive.google.com/drive/folders/1C4OhNftCoI2irJeY-qXDWl1KSRiv5LmG?usp=drive_link,https://app.studysmarter.de/studyset/16970689?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
COSC 327,Information Systems Analysis and Design (ISAAD),https://drive.google.com/drive/folders/1ly2J35ejiM0iiaNgenBlk3b4dC5ftUFd?usp=drive_link,https://app.studysmarter.de/studyset/15497129?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
COSC 335,Data Communication and Computer Networks,https://drive.google.com/drive/folders/1qoetWsOIt-6H7SSx-2VOBCWJC1LdC3_0?usp=drive_link,https://app.studysmarter.de/studyset/16970697?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
ITGY 307,Linux System Administration,https://drive.google.com/drive/folders/1dCkDh8P1rVRHKXNggkPalBwUXiyItmM6?usp=drive_link,https://app.studysmarter.de/studyset/15633657?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
COSC 305,SQL Fundamentals,https://drive.google.com/drive/folders/1Z65_REp33hjzlLEhhB2nGSm2Z2eyoC_x?usp=drive_link,https://app.studysmarter.de/studyset/16963451?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
COSC 328, Androids,https://drive.google.com/drive/folders/1Y-Fx4rTsOL3Ie08euqZY7z4XvWztb3Kc?usp=drive_link,https://app.studysmarter.de/studyset/21162807?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
